name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,write_idempotency_key
"Organización Soriana, S.A.B. De C.V.",soriana.com,https://linkedin.com/company/organizacion-soriana,"Monterrey, Mexico",Mexico,"Organización Soriana is a leading Mexican retail company that operates supermarkets and hypermarkets, offering a wide range of products including groceries, apparel, electronics, and household goods.",Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,Mexico,Private Company,90000,10367.0,482b82be1fe8bfa85d5f3b4fa82fa382
Northeast Grocery Inc.,northeastgrocery.com,https://linkedin.com/company/northeast-grocery-inc,"Schenectady, United States",United States,"Northeast Grocery Inc. operates as a retail company specializing in grocery stores, serving communities across the northeastern United States with a wide range of food and household products.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,10000,7460.0,ad2fd1b8a85b64ae0271a2e18e40a6b2
Otto (Gmbh & Co KG),otto.de,https://linkedin.com/company/otto-gmbh-&-co-kg,"Hamburg, Germany",Europe,"Otto (GmbH & Co KG) is a leading German retail company specializing in e-commerce, offering a wide range of products including fashion, home goods, and electronics. It is one of the largest online retailers in Europe.",E-Commerce And Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,52000,14657.0,6f45722d06e9d20e7c21690c3287cf57
Orkla ASA,orkla.com,https://linkedin.com/company/orkla,"Oslo, Norway",Europe,"Orkla ASA is a leading supplier of branded consumer goods and concept solutions to the grocery, out-of-home, specialized retail, pharmacy, and bakery sectors, primarily in the Nordic and Baltic regions.",Branded Consumer Goods,"10,001+ employees",$1B - $10B,USD,Norway,Public Company,21000,5800.0,e123d3dfd54659ef036ba679108848a0
Cadena Comercial OXXO,oxxo.com,https://linkedin.com/company/oxxo,"Monterrey, Mexico",Mexico,"OXXO is a leading convenience store chain in Mexico and Latin America, offering a wide range of products and services to customers. It is known for its extensive network of stores and focus on convenience and accessibility.",Convenience Retail,"10,001+ employees",$10B+,USD,Mexico,Private Company,140000,15000.0,9b6828fbc83ff8e02949d10b1e1c4f25
Pan Pacific International Holdings,ppih.co.jp,https://linkedin.com/company/pan-pacific-international-holdings,"Tokyo, Japan",Asia-Pacific,"Pan Pacific International Holdings operates a diverse range of retail businesses, including discount stores, supermarkets, and specialty shops, primarily in Japan and across the Asia-Pacific region.",Retail And Consumer Goods,"10,001+ employees",$10B+,USD,Japan,Private Company,16000,12499.0,65475cfa2b823edba6fff806803821b5
Penney Opco LLC,jcpenney.com,https://linkedin.com/company/jcpenney,"Plano, United States",United States,"Penney OpCo LLC, formerly J. C. Penney Company, Inc., is a private retail company offering apparel, home goods, and accessories through its department stores and online platform.",Department Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,50000,6900.0,a8d46ae2f7b92ad152882f1946de7636
"Pepsico, Inc.",pepsico.com,https://linkedin.com/company/pepsico,"Purchase, United States",Global,"PepsiCo, Inc. is a leading global food and beverage company, offering a wide range of products including snacks, beverages, and packaged goods under iconic brands like Pepsi, Lay's, and Quaker.",Food And Beverage,"10,001+ employees",$10B+,USD,United States,Public Company,315000,91471.0,2a9e3e6ce5aaedb3c5bb893188a22c84
"Post Holdings, Inc.",postholdings.com,https://linkedin.com/company/post-holdings,"St. Louis, United States",Global,"Post Holdings, Inc. is a consumer packaged goods holding company focused on ready-to-eat cereals, refrigerated foods, and other food products. It operates through a portfolio of businesses serving both retail and foodservice channels.",Packaged Foods And Beverages,"10,001+ employees",$1B - $10B,USD,United States,Public Company,10000,7384.0,3488c608cdecb63ee0b2ca533703fd6d
PT Indomarco Prismatama (Indomaret),indomaret.co.id,https://linkedin.com/company/indomaret,"Jakarta, Indonesia",Indonesia,"PT Indomarco Prismatama, operating under the brand Indomaret, is a leading convenience store chain in Indonesia, offering a wide range of daily necessities and consumer goods.",Convenience Retail,"10,001+ employees",$1B - $10B,USD,,Private Company,100000,6828.0,900d5f1159ac7dfb248a09dac4fa794b
Puma,puma.com,https://linkedin.com/company/puma,"Herzogenaurach, Germany",Global,"Puma is a leading sportswear and lifestyle brand that designs, develops, and markets footwear, apparel, and accessories. The company is known for its innovative designs and collaborations with athletes and fashion icons.",Sportswear And Apparel,"10,001+ employees",$1B - $10B,USD,Germany,Public Company,16000,9521.0,96fb2246c9aae732510598653e2d8b24
Quiktrip Corporation,quiktrip.com,https://linkedin.com/company/quiktrip,"Tulsa, United States",United States,"QuikTrip Corporation is a privately held chain of convenience stores and gas stations, operating primarily in the United States. The company is known for its high-quality service and wide range of products, including fresh food and beverages.",Convenience Stores & Gas Stations,"10,001+ employees",$10B+,USD,United States,Private Company,24000,12500.0,028670ccb99c0bda1bc01b87e3041590
"QVC, Inc.",qvc.com,https://linkedin.com/company/qvc,"West Chester, United States",Global,"QVC, Inc. is a leading global retailer specializing in video and e-commerce, offering a wide range of products including home goods, fashion, beauty, and electronics through its television network and online platforms.",E-Commerce And Home Shopping,"10,001+ employees",$10B+,USD,United States,Private Company,22000,11200.0,9f678921cd97a948b84b57cf6f44e0cf
The Raley’S Companies,raleys.com,https://linkedin.com/company/raleys,"West Sacramento, United States",United States,"The Raley’s Companies is a privately-owned retail company operating a chain of grocery stores, offering fresh food, groceries, and pharmacy services across the western United States.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,23000,6000.0,833e4fef40bb35079e701618742d746e
Ralph Lauren Corp.,ralphlauren.com,https://linkedin.com/company/ralph-lauren,"New York, United States",Global,"Ralph Lauren Corp. is a global leader in the design, marketing, and distribution of premium lifestyle products, including apparel, accessories, home furnishings, and fragrances.",Apparel & Fashion,"10,001+ employees",$1B - $10B,USD,United States,Public Company,18000,6444.0,e71cedf2d65cf09318d79a5b58e46f22
Reynolds Consumer Products,reynoldsconsumerproducts.com,https://linkedin.com/company/reynolds-consumer-products,"Lake Forest, United States",North America,"Reynolds Consumer Products is a leading provider of household essentials, including aluminum foil, food storage solutions, and disposable tableware, known for brands like Reynolds Wrap and Hefty.",Household Products,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,5000,3614.0,48a66c9926edc7c0bbf434507e01d020
"Revlon, Inc.",revlon.com,https://linkedin.com/company/revlon,"New York, United States",Global,"Revlon, Inc. is a leading global beauty company that manufactures and markets cosmetics, skincare, fragrance, and personal care products. The company is known for its iconic brands and innovative products in the beauty industry.",Cosmetics And Personal Care,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,5200,2088.0,2e4a301cf1803c57af4a131adafd6268
Savencia SA,savencia.com,https://linkedin.com/company/savencia,"Viroflay, France",Global,"Savencia SA is a leading global producer of specialty cheeses and dairy products, offering innovative and high-quality solutions for consumers and professionals worldwide.",Dairy Products,"10,001+ employees",$1B - $10B,USD,France,Public Company,22000,7517.0,9dc9ebe1a3cafbf4bcea458b73c6bf62
San Miguel Food & Beverage,smfb.com.ph,https://linkedin.com/company/san-miguel-food-and-beverage,"Mandaluyong, Philippines",Philippines,"San Miguel Food & Beverage is a leading consumer packaged goods company in the Philippines, offering a wide range of food, beverage, and related products to domestic and international markets.",Food And Beverage Manufacturing,"10,001+ employees",$1B - $10B,USD,Philippines,Public Company,18000,6754.0,2ffcdcf419bfaf3b2534a62ca15d1250
"Schwarz Group (Lidl, Kaufland)",schwarz-group.com,https://linkedin.com/company/schwarz-group,"Neckarsulm, Germany",Europe,"Schwarz Group is a leading multinational retail company operating Lidl and Kaufland, offering grocery and general merchandise across Europe and globally.",Retail And Wholesale,"10,001+ employees",$10B+,USD,Germany,Private Company,500000,153750.0,45c31d3eec7b5d002ef900dcfb564fd7
Sendas Distribuidora S.A. (Assaí),assai.com.br,https://linkedin.com/company/assai-atacadista,"São Paulo, Brazil",Brazil,"Sendas Distribuidora S.A. (Assaí) is a leading wholesale retailer in Brazil, specializing in cash-and-carry operations to serve businesses and individual consumers. The company operates a large network of stores across the country.",Wholesale Retail,"10,001+ employees",$10B+,USD,Brazil,Private Company,60000,13701.0,eec6406ef31c86ca761a39d2732f5107
"Seven & I Holdings Co., Ltd.",7andi.com,https://www.linkedin.com/company/seven-and-i-holdings,"Tokyo, Japan",Global,"Seven & i Holdings Co., Ltd. is a Japanese retail group that operates convenience stores, supermarkets, and department stores, including the globally recognized 7-Eleven brand.",Retail And Convenience Stores,"10,001+ employees",$10B+,USD,Japan,Private Company,53000,72750.0,14958fa3ce70896eaf78bf8cad79aee9
Sklavenitis Group,sklavenitis.gr,https://linkedin.com/company/sklavenitis-group,"Athens, Greece",Greece,"Sklavenitis Group is one of the largest retail chains in Greece, specializing in supermarkets and hypermarkets, offering a wide range of products to consumers.",Supermarkets And Hypermarkets,"10,001+ employees",$1B - $10B,USD,,Private Company,30000,5518.0,6864574cd4e65bd2d9682ebc2a0bed43
SM Investments Corporation,sminvestments.com,https://linkedin.com/company/sm-investments-corporation,"Pasay City, Philippines",Asia-Pacific,"SM Investments Corporation is a leading conglomerate in the Philippines, with interests in retail, banking, and property development. It operates one of the largest retail chains in the country and is a key player in the region's economic growth.","Conglomerate (Retail, Banking, Property)","10,001+ employees",$1B - $10B,USD,,Private Company,10000,7442.0,f3370f0df42ba0990fcebb540059992a
Sok Marketler,sokmarket.com.tr,https://linkedin.com/company/sok-marketler,"Istanbul, Turkey",Turkey,"Sok Marketler is a leading retail chain in Turkey, offering a wide range of affordable grocery and household products through its extensive network of stores.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,,Private Company,30000,4469.0,1810cb4c7c7b7071e245618bba6f15e4
"Sonae, SGPS, SA",sonae.pt,https://linkedin.com/company/sonae,"Maia, Portugal",Europe,"Sonae, SGPS, SA is a leading Portuguese retail company operating across various sectors, including food, fashion, electronics, and telecommunications. It is known for its innovative approach and commitment to sustainability.",Retail And Consumer Goods,"10,001+ employees",$1B - $10B,USD,Portugal,Private Company,10000,9134.0,d4d52375e11e7bef8ab11111134e6485
"Southeastern Grocers, Inc.",southeasterngrocers.com,https://linkedin.com/company/southeastern-grocers,"Jacksonville, United States",United States,"Southeastern Grocers, Inc. is a leading supermarket chain in the southeastern United States, operating well-known grocery brands such as Winn-Dixie, Harveys Supermarket, and Fresco y Más.",Supermarkets And Grocery Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,45000,8500.0,7964d54b36a8aea73a1b17f0b9e4fe87
Specsavers Group,specsavers.com,https://linkedin.com/company/specsavers,"Guernsey, United Kingdom",Europe,"Specsavers Group is a leading optical retail chain offering eyeglasses, contact lenses, and hearing aids. The company operates globally with a focus on affordable and high-quality eye care services.",Optical Retail,"10,001+ employees",$1B - $10B,USD,United Kingdom,Private Company,37000,5072.0,ef0f45529de96debc62354c2368671c7
Starbucks Coffee Company,starbucks.com,https://linkedin.com/company/starbucks,"Seattle, United States",Global,"Starbucks Coffee Company is a leading multinational chain of coffeehouses and roastery reserves, known for its premium coffee, beverages, and food offerings.",Coffee Retail,"10,001+ employees",$10B+,USD,United States,Private Company,402000,36200.0,a446ccc75e74b46b040dc34eea5a7b19
"Staples, Inc.",staples.com,https://linkedin.com/company/staples,"Framingham, United States",North America,"Staples, Inc. is a leading retailer specializing in office supplies, technology products, furniture, and business services for individuals and businesses.",Office Supplies And Business Services,"10,001+ employees",$1B - $10B,USD,United States,Private Company,70000,7600.0,e2a61060ff0fed49840aac5a166b30f9
"Suning.Com Co., Ltd.",suning.com,https://linkedin.com/company/suning,"Nanjing, China",China,"Suning.com Co., Ltd. is one of China's leading retail companies, specializing in e-commerce, consumer electronics, and home appliances. It operates both online and offline retail channels to serve millions of customers.",E-Commerce And Consumer Electronics Retail,"10,001+ employees",$1B - $10B,USD,China,Private Company,130000,8109.0,319d14731368efc4871998795e3479d8
Suntory Holdings,suntory.com,https://linkedin.com/company/suntory,"Osaka, Japan",Global,"Suntory Holdings is a leading multinational company in the consumer packaged goods industry, specializing in beverages, including alcoholic and non-alcoholic drinks. The company is known for its premium brands and commitment to sustainability.",Beverages,"10,001+ employees",$10B+,USD,Japan,Public Company,39000,22000.0,6e876d13d605346650408268af62fbeb
Swatch Group AG,swatchgroup.com,https://linkedin.com/company/swatch-group,"Biel/Bienne, Switzerland",Global,"Swatch Group AG is a leading Swiss manufacturer of watches, jewelry, and related components, known for its iconic brands such as Swatch, Omega, and Tissot. The company operates globally, offering a wide range of luxury and affordable timepieces.",Luxury Goods & Accessories,"10,001+ employees",$1B - $10B,USD,Switzerland,Public Company,32000,8786.0,676c352741c0de972fa4b52b60cefc64
"Tapestry, Inc.",tapestry.com,https://linkedin.com/company/tapestry-inc,"New York, United States",Global,"Tapestry, Inc. is a leading house of modern luxury lifestyle brands, including Coach, Kate Spade, and Stuart Weitzman, specializing in handbags, accessories, footwear, and apparel.",Luxury Goods & Retail,"10,001+ employees",$1B - $10B,USD,United States,Public Company,12000,6661.0,3761a246b9f1b86ee0d680ec691cbe38
Tengelmann Group,tengelmann.de,https://linkedin.com/company/tengelmann-group,"Mülheim an der Ruhr, Germany",Europe,"Tengelmann Group is a private German retail company operating in various sectors, including grocery, clothing, and home improvement. It is known for its diverse portfolio and long-standing presence in the European market.",Retail And Consumer Goods,"10,001+ employees",$1B - $10B,USD,Germany,Private Company,87000,9833.0,cef549f40fa2db334eea75d2f5ca5ffe
Target Corporation,target.com,https://linkedin.com/company/target,"Minneapolis, United States",United States,"Target Corporation is a leading American retail company offering a wide range of products, including apparel, home goods, electronics, and groceries, through its stores and online platform.",Retail,"10,001+ employees",$10B+,USD,United States,Private Company,450000,107588.0,ffb2b4d23fd276969a92b68e036210d1
Tesco PLC,tesco.com,https://linkedin.com/company/tesco,"Welwyn Garden City, United Kingdom",Global,"Tesco PLC is a leading multinational retailer, offering groceries, general merchandise, and financial services to millions of customers worldwide. It operates through a network of supermarkets, hypermarkets, and convenience stores.",Supermarkets And Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,345000,74274.0,1c5104b73f4fb8ab06aef65480a12796
Thai Beverage Public Co.,thaibev.com,https://linkedin.com/company/thai-beverage,"Bangkok, Thailand",Asia-Pacific,"Thai Beverage Public Co. is a leading beverage company in Thailand, producing and distributing a wide range of alcoholic and non-alcoholic beverages, including spirits, beer, and soft drinks.",Beverage Manufacturing,"10,001+ employees",$1B - $10B,USD,Thailand,Public Company,25000,8415.0,f1e9e9ec1e0ce403a993bae699190e5a
"The Gap, Inc.",gap.com,https://linkedin.com/company/the-gap-inc,"San Francisco, United States",Global,"The Gap, Inc. is a leading global retailer offering clothing, accessories, and personal care products for men, women, and children under brands such as Gap, Old Navy, Banana Republic, and Athleta.",Apparel Retail,"10,001+ employees",$10B+,USD,United States,Private Company,97000,14889.0,ad23c89ca834830b5c3200301845bcb8
"The Home Depot, Inc.",homedepot.com,https://linkedin.com/company/the-home-depot,"Atlanta, United States",North America,"The Home Depot, Inc. is the largest home improvement retailer in the United States, offering tools, construction products, appliances, and services to both professionals and consumers.",Home Improvement Retail,"10,001+ employees",$10B+,USD,United States,Private Company,500000,152664.0,b713339a3700178027d930e7d663a54d
The IKEA Group (INGKA Holding B.V.),ikea.com,https://linkedin.com/company/ikea,"Delft, Netherlands",Global,"The IKEA Group (INGKA Holding B.V.) is a multinational retail company specializing in affordable, ready-to-assemble furniture, home accessories, and kitchen products. It operates stores worldwide and is known for its sustainable and innovative designs.",Furniture And Home Goods Retail,"10,001+ employees",$10B+,USD,Netherlands,Private Company,231000,42960.0,1291c2c681f5f36c0207f966397f58bd
The J.M. Smucker Company,jmsmucker.com,https://linkedin.com/company/the-j-m-smucker-co,"Orrville, United States",Global,"The J.M. Smucker Company is a leading manufacturer of consumer packaged goods, specializing in food and beverage products, including coffee, pet food, spreads, and snacks.",Food And Beverage Manufacturing,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,7000,8196.0,1b0b525d4bb6a95b0da44c06ac7af2e3
"The Michaels Companies, Inc.",michaels.com,https://linkedin.com/company/the-michaels-companies,"Irving, United States",United States,"The Michaels Companies, Inc. is a leading arts and crafts retail chain offering a wide range of products for creative projects, home decor, and seasonal celebrations.",Arts And Crafts Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,45000,5100.0,caccb5c50f0d0cc08f384f4c3bd48e1c
The Kroger Co.,kroger.com,https://linkedin.com/company/kroger,"Cincinnati, United States",United States,"The Kroger Co. is one of the largest retail companies in the United States, operating supermarkets, multi-department stores, and online retail services. It is known for providing groceries, pharmacy services, and other consumer goods.",Supermarkets And Grocery Retail,"10,001+ employees",$10B+,USD,United States,Private Company,420000,148258.0,4b4763c603cfe35166b4513f85488d32
The Sherwin-Williams Company / Americas Group,sherwin-williams.com,https://linkedin.com/company/sherwin-williams,"Cleveland, United States",North America,"The Sherwin-Williams Company / Americas Group is a leading retailer of paints, coatings, and related products, serving professional, industrial, and retail customers across the Americas.",Paints And Coatings Retail,"10,001+ employees",$10B+,USD,United States,Private Company,61000,12840.0,3ece06f00ea1dd6b00d85b3429502ed1
The SPAR Group Limited,spar.co.za,https://linkedin.com/company/the-spar-group-limited,"Pinetown, South Africa",South Africa,"The SPAR Group Limited is a leading South African retail and wholesale company operating a network of independently owned stores under the SPAR brand. It provides groceries, fresh produce, and other retail products to customers across South Africa and neighboring regions.",Retail And Wholesale,"5,001-10,000 employees",$1B - $10B,USD,South Africa,Private Company,9000,7884.0,6eae9daeec396615aeef8f8a188e5e78
T. J. Morris Dba Home Bargains,homebargains.co.uk,https://linkedin.com/company/home-bargains,"Liverpool, United Kingdom",United Kingdom,"Home Bargains, operated by T. J. Morris, is a leading discount retailer in the United Kingdom, offering a wide range of products including groceries, household items, and health and beauty products at competitive prices.",Discount Retail,"10,001+ employees",$1B - $10B,USD,United Kingdom,Private Company,22000,4772.0,5201b4896eafe1ca424cdc1f1e3fbcfd
"TJX Companies, Inc.",tjx.com,https://linkedin.com/company/the-tjx-companies-inc,"Framingham, United States",Global,"TJX Companies, Inc. is a leading off-price retailer of apparel and home fashions, operating stores such as T.J. Maxx, Marshalls, HomeGoods, and more across the globe.",Off-Price Retail,"10,001+ employees",$10B+,USD,United States,Private Company,340000,54222.0,18e1c829744f27d4e19c264694a24ff3
United.B Group,unitedbgroup.com,https://linkedin.com/company/unitedbgroup,"Paris, France",France,"United.b Group (formerly HTM-Group) is a private retail company based in France, specializing in providing a wide range of consumer goods and services across Europe.",Retail And Consumer Goods,"5,001-10,000 employees",$1B - $10B,USD,France,Private Company,7500,6084.0,20733c1c65d8c6539f0618996327bc4b
"Urban Outfitters, Inc.",urbanoutfitters.com,https://linkedin.com/company/urban-outfitters,"Philadelphia, United States",Global,"Urban Outfitters, Inc. is a lifestyle retail company offering a curated mix of on-trend women's and men's apparel, accessories, home decor, and beauty products. The company operates under multiple brands, including Urban Outfitters, Anthropologie, and Free People.",Lifestyle And Apparel Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,24000,4679.0,7d28ce6fc5b3d4206cfba22007ee0772
"Valor Holdings Co., Ltd.",valorholdings.co.jp,https://linkedin.com/company/valor-holdings,"Gifu, Japan",Japan,"Valor Holdings Co., Ltd. is a leading retail company in Japan, operating supermarkets, home improvement stores, and drugstores to serve a wide range of consumer needs.",Supermarkets And Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,15000,4948.0,c8681e6fd21b7d22f0863441babf81bf
VF Corp.,vfc.com,https://linkedin.com/company/vf-corporation,"Denver, United States",Global,"VF Corp. is a global leader in branded lifestyle apparel, footwear, and accessories, owning iconic brands such as The North Face, Vans, Timberland, and Dickies.",Apparel And Footwear,"10,001+ employees",$10B+,USD,United States,Public Company,35000,11612.0,93b518af72dc2f7bcba1b8a7fee46616
Vipshop Holdings Limited,vip.com,https://linkedin.com/company/vipshop,"Guangzhou, China",China,"Vipshop Holdings Limited is a leading online discount retailer in China, specializing in branded products at significant discounts through flash sales. The company offers a wide range of products, including apparel, cosmetics, home goods, and more.",E-Commerce,"10,001+ employees",$10B+,USD,China,Private Company,13000,14875.0,270860d5d80ee63310f996a9e7c1f324
"Walgreens Boots Alliance, Inc.",walgreensbootsalliance.com,https://linkedin.com/company/walgreens-boots-alliance,"Deerfield, United States",Global,"Walgreens Boots Alliance, Inc. is a global leader in retail pharmacy, health, and wellness solutions, operating across the United States and internationally. The company provides pharmaceutical, health, and beauty products through its extensive network of stores and online platforms.",Pharmacy Retail And Healthcare,"10,001+ employees",$10B+,USD,United States,Private Company,325000,139537.0,f47998333f1c0bb7e8e3d7845f7f0af8
Walmart Inc.,walmart.com,https://linkedin.com/company/walmart,"Bentonville, United States",Global,"Walmart Inc. is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores. It is one of the largest companies in the world by revenue and serves millions of customers globally.",Retail And Consumer Goods,"10,001+ employees",$10B+,USD,United States,Private Company,2300000,611289.0,97da2ffc2fd569cb1470cef4538305bb
Wayfair Inc.,wayfair.com,https://linkedin.com/company/wayfair,"Boston, United States",Global,"Wayfair Inc. is an American e-commerce company that specializes in selling furniture, home goods, and decor through its online platform. It offers a wide selection of products from various suppliers, catering to customers worldwide.",E-Commerce Retail,"10,001+ employees",$10B+,USD,United States,Private Company,16000,12200.0,92815f542e3b72ecf95d79a621823a06
Wegmans Food Markets,wegmans.com,https://linkedin.com/company/wegmans-food-markets,"Rochester, United States",United States,"Wegmans Food Markets is a family-owned supermarket chain known for its high-quality products, exceptional customer service, and commitment to community and sustainability.",Supermarkets And Grocery Stores,"10,001+ employees",$10B+,USD,United States,Private Company,50000,12000.0,f0bf690d9848b97d5db4279dc5107ec1
Wd Ff Limited Dba Iceland,iceland.co.uk,https://linkedin.com/company/iceland-foods,"Deeside, United Kingdom",United Kingdom,"WD FF Limited, operating as Iceland, is a UK-based retailer specializing in frozen foods, groceries, and household essentials. The company is known for its wide range of affordable products and commitment to sustainability.",Supermarkets & Grocery Retail,"10,001+ employees",$1B - $10B,USD,United Kingdom,Private Company,30000,5206.0,a30750b4736d542537567493087333f4
"Weis Markets, Inc.",weismarkets.com,https://linkedin.com/company/weis-markets,"Sunbury, United States",United States,"Weis Markets, Inc. is a retail grocery chain operating primarily in the Mid-Atlantic region of the United States, offering a wide range of food and household products. The company is committed to providing quality service and fresh products to its customers.",Supermarkets & Grocery Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,23000,4697.0,9e5299b341d39d33c196235aa33b6a7d
Wesfarmers Limited,wesfarmers.com.au,https://linkedin.com/company/wesfarmers,"Perth, Australia",Australia,"Wesfarmers Limited is one of Australia's largest conglomerates, operating across retail, chemicals, energy, and industrial sectors. The company is known for its retail brands such as Bunnings, Kmart, and Officeworks.",Retail And Conglomerate,"10,001+ employees",$10B+,USD,Australia,Private Company,120000,22288.0,51eed5c0f1965443d92e8a91413a4e46
WH Group Ltd.,wh-group.com,https://linkedin.com/company/wh-group,"Hong Kong, China",Global,"WH Group Ltd. is a leading global consumer packaged goods company specializing in pork production and processing. It operates through its subsidiaries, including Smithfield Foods, and is one of the largest pork producers in the world.",Meat Processing And Consumer Packaged Goods,"10,001+ employees",$10B+,USD,China,Public Company,110000,26236.0,ecb346483c90bc04c1e97b04dd2d56a0
Whirlpool Corp.,whirlpoolcorp.com,https://linkedin.com/company/whirlpool-corporation,"Benton Harbor, United States",Global,"Whirlpool Corp. is a leading global manufacturer and marketer of home appliances, including refrigerators, washing machines, and kitchen appliances. The company is committed to improving life at home through innovative and sustainable solutions.",Home Appliances,"10,001+ employees",$10B+,USD,United States,Public Company,69000,19455.0,feefff5090adefb2495e0e4043d28029
Winco Foods LLC,wincofoods.com,https://linkedin.com/company/winco-foods,"Boise, United States",United States,"WinCo Foods LLC is a privately held, employee-owned supermarket chain offering a wide range of groceries and household products at competitive prices. The company operates stores across multiple states in the western United States.",Supermarkets & Grocery Stores,"10,001+ employees",$10B+,USD,United States,Private Company,20000,10390.0,c277bd652f31f904c00d09d3ca0aca14
"Wumart Technology Group Co., Ltd.",wumart.com,https://linkedin.com/company/wumart,"Beijing, China",China,"Wumart Technology Group Co., Ltd. is a leading retail company in China, specializing in the operation of supermarkets and hypermarkets, offering a wide range of consumer goods and groceries.",Supermarkets And Hypermarkets,"10,001+ employees",$1B - $10B,USD,China,Private Company,20000,7780.0,6017ccd1a22286b2f079e71f4e4a507a
Xxxlutz Group,xxxlutz.com,https://linkedin.com/company/xxxlutz,"Wels, Austria",Europe,"XXXLutz Group is one of the largest furniture retailers in the world, offering a wide range of furniture, home decor, and accessories across Europe and beyond.",Furniture Retail,"10,001+ employees",$1B - $10B,USD,Austria,Private Company,25000,6622.0,c30e625d33e538bf7088f25b8d8d09a5
"Yamada Holdings Co., Ltd.",yamada-holdings.jp,https://linkedin.com/company/yamada-holdings,"Takasaki, Japan",Japan,"Yamada Holdings Co., Ltd. is a leading retail company specializing in consumer electronics, home appliances, and furniture. Formerly known as Yamada Denki Co., Ltd., it operates an extensive network of stores across Japan.",Consumer Electronics Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,20000,8462.0,0db255ea4f61eaea746be8a759719248
Zalando SE,zalando.com,https://linkedin.com/company/zalando,"Berlin, Germany",Europe,"Zalando SE is a leading European online fashion and lifestyle retailer, offering a wide range of clothing, footwear, accessories, and beauty products to customers across multiple countries.",E-Commerce And Fashion Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,17000,11194.0,dc60cb5f33ce42decc4b553604c9c5fa
Abbott Nutrition,abbott.com,https://linkedin.com/company/abbott,"Columbus, United States",Global,Abbott Nutrition is a division of Abbott focused on developing and manufacturing science-based nutritional products to support health and wellness across all ages.,Nutrition And Health Products,"10,001+ employees",$1B - $10B,USD,United States,Public Company,10000,8154.0,de5a42295988ba604520c42f1074eb09
"Aeon Retail Co., Ltd",aeonretail.jp,https://linkedin.com/company/aeon,"Chiba, Japan",Asia-Pacific,"Aeon Retail Co., Ltd is a leading retail company in Japan, operating a wide range of supermarkets, shopping malls, and specialty stores across the Asia-Pacific region.",Retail - Supermarkets And Department Stores,"10,001+ employees",$10B+,USD,Japan,Private Company,100000,80000.0,34328e4f8605f2c4e86994ef3c9d181b
Aldi Einkauf Gmbh & Co. OHG,aldi.com,https://linkedin.com/company/aldi,"Essen, Germany",Global,"Aldi Einkauf GmbH & Co. OHG is a leading global discount supermarket chain, known for offering high-quality products at affordable prices. The company operates thousands of stores across Europe, the United States, and other regions.",Discount Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,250000,121100.0,7c9be059b7d605aae0be5c875bae8b73
"Autozone, Inc.",autozone.com,https://linkedin.com/company/autozone,"Memphis, United States",North America,"AutoZone, Inc. is a leading retailer and distributor of automotive replacement parts and accessories, serving both professional mechanics and do-it-yourself customers.",Automotive Retail,"10,001+ employees",$10B+,USD,United States,Private Company,112000,18147.0,cf0f8954c812b99c1912353793c8c75d
Alimentation Couche-Tard Inc.,couche-tard.com,https://linkedin.com/company/alimentation-couche-tard,"Laval, Canada",Global,"Alimentation Couche-Tard Inc. is a leading global convenience store operator, offering fuel, food, and other retail services across its extensive network of locations.",Convenience Retail,"10,001+ employees",$10B+,USD,Canada,Private Company,124000,54102.0,12408027c6ce5141f5176bc2594f049d
Auchan Holding,auchan.com,https://linkedin.com/company/auchan,"Croix, France",Europe,"Auchan Holding is a French multinational retail group specializing in hypermarkets, supermarkets, and e-commerce, serving customers across Europe and globally.",Retail And Consumer Goods,"10,001+ employees",$10B+,USD,France,Private Company,329000,36452.0,ee4332f53c4b926157026870591ed876
Central Retail Corporation Public Company Limited,centralretail.com,https://linkedin.com/company/central-retail-corporation,"Bangkok, Thailand",Thailand,"Central Retail Corporation Public Company Limited is a leading retail company in Thailand, operating a diverse portfolio of department stores, supermarkets, and specialty stores across the region.",Retail,"10,001+ employees",$1B - $10B,USD,Thailand,Private Company,15000,6444.0,8919ed8412e9aab84862d763658fe6b2
